monotonic_ns,controller_ts,q0,q1,q2,q3,q4,q5,qd0,qd1,qd2,qd3,qd4,qd5
24266748459129,177010.072000,1.644328,-3.540264,0.330399,-3.639548,-1.593687,3.926883,0.000000,0.000000,-0.000000,0.000000,0.000080,0.884937
24266750420967,177010.074000,1.644328,-3.540288,0.330411,-3.639536,-1.593651,3.928617,0.000000,0.000000,-0.000000,0.000000,0.000005,0.879592
24266752469440,177010.076000,1.644340,-3.540264,0.330386,-3.639536,-1.593675,3.930380,0.000000,0.000000,-0.000000,0.000000,0.000000,0.878330
24266754424885,177010.078000,1.644340,-3.540264,0.330411,-3.639548,-1.593651,3.932130,0.000000,0.000000,-0.000000,0.000000,0.000000,0.874992
24266756493374,177010.080000,1.644316,-3.540264,0.330399,-3.639524,-1.593651,3.933855,0.000000,0.000000,-0.000000,0.000000,0.000075,0.873853
24266758447104,177010.082000,1.644340,-3.540264,0.330411,-3.639560,-1.593639,3.935511,0.000000,0.000000,-0.000000,0.000000,0.000079,0.874817
24266760435258,177010.084000,1.644328,-3.540252,0.330411,-3.639524,-1.593627,3.937267,0.000000,0.000000,-0.000000,0.000000,0.000078,0.872280
24266762422913,177010.086000,1.644340,-3.540288,0.330399,-3.639524,-1.593639,3.939005,0.000000,0.000000,-0.000000,0.000000,0.000077,0.872115
24266764447211,177010.088000,1.644316,-3.540276,0.330386,-3.639536,-1.593651,3.940747,0.000000,0.000000,-0.000000,0.000000,0.000075,0.872225
24266766422251,177010.090000,1.644304,-3.540264,0.330423,-3.639560,-1.593663,3.942450,0.000000,0.000000,-0.000000,0.000000,0.000074,0.870628
24266768431528,177010.092000,1.644340,-3.540276,0.330399,-3.639536,-1.593615,3.944204,0.000000,0.000000,-0.000000,0.000000,0.000073,0.869759
24266770408326,177010.094000,1.644316,-3.540300,0.330399,-3.639560,-1.593639,3.945930,0.000000,0.000000,-0.000000,0.000000,0.000072,0.865610
24266772460647,177010.096000,1.644340,-3.540300,0.330423,-3.639548,-1.593675,3.947610,0.000000,0.000000,-0.000000,0.000000,0.000071,0.864526
24266774442026,177010.098000,1.644304,-3.540252,0.330423,-3.639560,-1.593639,3.949387,0.000000,0.000000,-0.000000,0.000000,0.000070,0.863702
24266776457697,177010.100000,1.644316,-3.540288,0.330399,-3.639560,-1.593687,3.951127,0.000000,0.000000,-0.000000,0.000000,0.000068,0.864222
24266778441177,177010.102000,1.644328,-3.540264,0.330386,-3.639548,-1.593675,3.952926,0.000000,0.000000,-0.000000,0.000000,0.000067,0.862092
24266780482175,177010.104000,1.644316,-3.540276,0.330411,-3.639548,-1.593663,3.954665,0.000000,0.000000,-0.000000,0.000000,0.000066,0.859632
24266782440436,177010.106000,1.644328,-3.540288,0.330411,-3.639560,-1.593627,3.956410,0.000000,0.000000,-0.000000,0.000000,0.000065,0.860182
24266784527746,177010.108000,1.644304,-3.540252,0.330386,-3.639536,-1.593675,3.958123,0.000000,0.000000,-0.000000,0.000000,0.000065,0.854739
24266786459502,177010.110000,1.644352,-3.540276,0.330423,-3.639560,-1.593651,3.959837,0.000000,0.000000,-0.000000,0.000000,0.000064,0.852395
24266788461323,177010.112000,1.644316,-3.540312,0.330411,-3.639560,-1.593639,3.961493,0.000000,0.000000,-0.000000,0.000000,0.000063,0.850035
24266790440798,177010.114000,1.644352,-3.540288,0.330375,-3.639548,-1.593651,3.963184,0.000000,0.000000,-0.000000,0.000000,0.000062,0.847169
